"TOA5","1481","CR3000","1481","CR3000.Std.32.06","CPU:AWS_MaggieMay_no_sonic_v3.CR3","13840","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature_1","temperature_2","rel_humidity_1","rel_humidity_2","wind_speed_1","wind_speed_2","gust_speed_1","gust_speed_2","wind_direction_1","wind_direction_2","air_pressure","SWup","SWdown","LWup","LWdown","CNR1_T_degC","ground_temperature"
"TS","RN","Volts","degC","degC","%","%","m/s","m/s","m/s","m/s","deg","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC"
"","","Min","Avg","Avg","Smp","Smp","Avg","Avg","Max","Max","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-03-09 15:01:00",11662,12.03,-10.8,-10.71,78.19,79.14,2.637,2.793,3.964,4.116,345.4,38.97,984.8127,16.61,17.42,261,233.1,-10.88,-9.06
"2025-03-09 15:02:00",11663,12.03,-10.74,-10.67,78.66,79.27,3.657,3.874,4.479,4.606,345.4,23.76,984.829,16.55,17.37,263.7,235.6,-10.86,-9.06
"2025-03-09 15:03:00",11664,12.03,-10.62,-10.56,78.27,78.65,3.489,3.677,4.118,4.116,345.5,25.17,984.8473,16.69,17.49,263.2,236,-10.84,-9.06
"2025-03-09 15:04:00",11665,12.03,-10.51,-10.46,77.83,78.16,3.375,3.459,4.479,4.116,345.4,46.48,984.8486,16.5,17.27,263.7,235.8,-10.82,-9.05
"2025-03-09 15:05:00",11666,12.03,-10.47,-10.41,77.03,77.28,3.134,3.206,3.604,3.724,345.4,61.38,984.8625,16.24,16.9,262.8,234.9,-10.81,-9.05
"2025-03-09 15:06:00",11667,12.03,-10.51,-10.46,76.79,77.43,3.002,3.209,4.324,4.508,345.5,53.84,984.832,15.93,16.61,262.7,235,-10.83,-9.05
"2025-03-09 15:07:00",11668,12.03,-10.57,-10.51,76.9,77.79,2.424,2.559,3.089,3.136,345.5,46.24,984.8553,15.6,16.3,262.2,235.1,-10.84,-9.05
"2025-03-09 15:08:00",11669,12.03,-10.66,-10.57,77.16,78.41,2.624,2.821,3.758,3.92,345.4,33.72,984.8701,14.95,15.56,261.3,235.1,-10.88,-9.05
"2025-03-09 15:09:00",11670,12.03,-10.58,-10.52,77.5,78.11,3.341,3.443,3.707,3.822,345.4,49.98,984.8557,14.65,15.19,263.2,236.6,-10.87,-9.05
"2025-03-09 15:10:00",11671,12.03,-10.55,-10.49,77.5,78.41,2.869,2.956,3.295,3.332,345.4,40.41,984.8528,14.62,15.14,262.7,237.4,-10.87,-9.05
"2025-03-09 15:11:00",11672,12.03,-10.56,-10.49,77.2,78.03,2.266,2.375,2.78,3.038,345.4,39.98,984.89,14.25,14.74,261.4,236.7,-10.87,-9.05
