,Time,1,2
S/N,,939300,939300
Type,,TGP-4520,TGP-4520
Description,,TT13,TT13
Property,,Black Probe Temperature,White Probe Temperature
106,2025-03-02 04:30:00,18.579 °C,18.490 °C
107,2025-03-02 04:40:00,18.560 °C,18.468 °C
108,2025-03-02 04:50:00,18.535 °C,18.447 °C
109,2025-03-02 05:00:00,18.513 °C,18.425 °C
110,2025-03-02 05:10:00,18.490 °C,18.404 °C
111,2025-03-02 05:20:00,18.470 °C,18.382 °C
112,2025-03-02 05:30:00,18.450 °C,18.362 °C
113,2025-03-02 05:40:00,18.433 °C,18.342 °C
114,2025-03-02 05:50:00,18.417 °C,18.322 °C
115,2025-03-02 06:00:00,18.397 °C,18.303 °C
116,2025-03-02 06:10:00,18.377 °C,18.285 °C
117,2025-03-02 06:20:00,18.357 °C,18.263 °C
118,2025-03-02 06:30:00,18.334 °C,18.243 °C
119,2025-03-02 06:40:00,18.309 °C,18.222 °C
120,2025-03-02 06:50:00,18.286 °C,18.200 °C
121,2025-03-02 07:00:00,18.266 °C,18.180 °C
122,2025-03-02 07:10:00,18.250 °C,18.160 °C
123,2025-03-02 07:20:00,18.235 °C,18.141 °C
124,2025-03-02 07:30:00,18.217 °C,18.123 °C
125,2025-03-02 07:40:00,18.203 °C,18.107 °C
126,2025-03-02 07:50:00,18.131 °C,17.889 °C
127,2025-03-02 08:00:00,16.564 °C,15.422 °C
128,2025-03-02 08:10:00,14.374 °C,12.957 °C
129,2025-03-02 08:20:00,12.397 °C,11.232 °C
130,2025-03-02 08:30:00,10.597 °C,9.813 °C
131,2025-03-02 08:40:00,8.993 °C,8.192 °C
132,2025-03-02 08:50:00,6.989 °C,8.114 °C
133,2025-03-02 09:00:00,5.623 °C,4.892 °C
134,2025-03-02 09:10:00,4.539 °C,3.955 °C
135,2025-03-02 09:20:00,3.530 °C,3.349 °C
136,2025-03-02 09:30:00,2.878 °C,2.715 °C
137,2025-03-02 09:40:00,2.122 °C,1.795 °C
138,2025-03-02 09:50:00,1.248 °C,1.032 °C
139,2025-03-02 10:00:00,0.389 °C,0.273 °C
140,2025-03-02 10:10:00,-0.346 °C,-0.335 °C
141,2025-03-02 10:20:00,-0.961 °C,-0.864 °C
142,2025-03-02 10:30:00,-1.572 °C,-1.464 °C
143,2025-03-02 10:40:00,-1.875 °C,-1.802 °C
144,2025-03-02 10:50:00,-2.098 °C,-2.042 °C
145,2025-03-02 11:00:00,-2.290 °C,-2.236 °C
146,2025-03-02 11:10:00,-2.455 °C,-2.430 °C
147,2025-03-02 11:20:00,-2.724 °C,-3.600 °C
148,2025-03-02 11:30:00,-3.095 °C,-3.430 °C
149,2025-03-02 11:40:00,-3.294 °C,-3.566 °C
150,2025-03-02 11:50:00,-3.444 °C,-3.681 °C
151,2025-03-02 12:00:00,-3.426 °C,-3.687 °C
152,2025-03-02 12:10:00,-3.414 °C,-3.629 °C
153,2025-03-02 12:20:00,-3.446 °C,-3.685 °C
154,2025-03-02 12:30:00,-3.475 °C,-3.710 °C
155,2025-03-02 12:40:00,-3.503 °C,-3.800 °C
156,2025-03-02 12:50:00,-3.541 °C,-3.786 °C
157,2025-03-02 13:00:00,-3.537 °C,-3.760 °C
158,2025-03-02 13:10:00,-3.489 °C,-3.728 °C
159,2025-03-02 13:20:00,-3.444 °C,-3.699 °C
160,2025-03-02 13:30:00,-3.403 °C,-3.660 °C
161,2025-03-02 13:40:00,-3.271 °C,-3.496 °C
162,2025-03-02 13:50:00,-2.906 °C,-3.119 °C
163,2025-03-02 14:00:00,-2.573 °C,-2.944 °C
164,2025-03-02 14:10:00,-2.255 °C,-2.348 °C
165,2025-03-02 14:20:00,-1.912 °C,-1.999 °C
166,2025-03-02 14:30:00,-1.550 °C,-1.745 °C
167,2025-03-02 14:40:00,-0.400 °C,-0.141 °C
168,2025-03-02 14:50:00,1.720 °C,1.421 °C
169,2025-03-02 15:00:00,4.004 °C,3.195 °C
170,2025-03-02 15:10:00,5.944 °C,4.889 °C
171,2025-03-02 15:20:00,7.424 °C,6.559 °C
172,2025-03-02 15:30:00,8.491 °C,8.001 °C
173,2025-03-02 15:40:00,9.377 °C,9.192 °C
174,2025-03-02 15:50:00,10.266 °C,10.219 °C
175,2025-03-02 16:00:00,10.717 °C,11.082 °C
176,2025-03-02 16:10:00,11.660 °C,11.804 °C
177,2025-03-02 16:20:00,12.752 °C,12.408 °C
178,2025-03-02 16:30:00,13.419 °C,12.954 °C
179,2025-03-02 16:40:00,13.977 °C,13.464 °C
180,2025-03-02 16:50:00,14.455 °C,13.932 °C
181,2025-03-02 17:00:00,14.926 °C,14.368 °C
182,2025-03-02 17:10:00,15.270 °C,14.796 °C
183,2025-03-02 17:20:00,15.582 °C,15.180 °C
184,2025-03-02 17:30:00,15.851 °C,15.528 °C
185,2025-03-02 17:40:00,16.117 °C,15.835 °C
186,2025-03-02 17:50:00,16.353 °C,16.101 °C
187,2025-03-02 18:00:00,16.541 °C,16.321 °C
188,2025-03-02 18:10:00,16.702 °C,16.513 °C
189,2025-03-02 18:20:00,16.840 °C,16.678 °C
190,2025-03-02 18:30:00,16.967 °C,16.817 °C
191,2025-03-02 18:40:00,17.036 °C,16.934 °C
192,2025-03-02 18:50:00,17.089 °C,17.021 °C
193,2025-03-02 19:00:00,17.139 °C,17.106 °C
194,2025-03-02 19:10:00,17.194 °C,17.178 °C
195,2025-03-02 19:20:00,17.247 °C,17.231 °C
196,2025-03-02 19:30:00,17.286 °C,17.277 °C
197,2025-03-02 19:40:00,17.316 °C,17.317 °C
198,2025-03-02 19:50:00,17.342 °C,17.359 °C
199,2025-03-02 20:00:00,17.333 °C,17.393 °C
200,2025-03-02 20:10:00,17.319 °C,17.428 °C
201,2025-03-02 20:20:00,17.313 °C,17.426 °C
202,2025-03-02 20:30:00,17.312 °C,17.424 °C
203,2025-03-02 20:40:00,17.301 °C,17.421 °C
204,2025-03-02 20:50:00,17.290 °C,17.415 °C
205,2025-03-02 21:00:00,17.283 °C,17.416 °C
206,2025-03-02 21:10:00,17.280 °C,17.408 °C
207,2025-03-02 21:20:00,17.280 °C,17.406 °C
208,2025-03-02 21:30:00,17.280 °C,17.393 °C
209,2025-03-02 21:40:00,17.280 °C,17.392 °C
210,2025-03-02 21:50:00,17.283 °C,17.386 °C
211,2025-03-02 22:00:00,17.283 °C,17.380 °C
212,2025-03-02 22:10:00,17.281 °C,17.379 °C
213,2025-03-02 22:20:00,17.290 °C,17.419 °C
214,2025-03-02 22:30:00,17.297 °C,17.426 °C
215,2025-03-02 22:40:00,17.309 °C,17.429 °C
216,2025-03-02 22:50:00,17.316 °C,17.415 °C
217,2025-03-02 23:00:00,17.324 °C,17.435 °C
218,2025-03-02 23:10:00,17.324 °C,17.416 °C
