,Time,1,2
S/N,,866815,866815
Type,,TGP-4520,TGP-4520
Description,,TT9,TT9
Property,,Black Probe Temperature,White Probe Temperature
1,2025-03-01 11:00:00,-0.655 °C,-0.797 °C
2,2025-03-01 11:10:00,-1.182 °C,-1.321 °C
3,2025-03-01 11:20:00,-1.617 °C,-1.750 °C
4,2025-03-01 11:30:00,-1.915 °C,-2.039 °C
5,2025-03-01 11:40:00,-2.194 °C,-2.313 °C
6,2025-03-01 11:50:00,-2.450 °C,-2.566 °C
7,2025-03-01 12:00:00,-2.680 °C,-2.793 °C
8,2025-03-01 12:10:00,-2.894 °C,-3.008 °C
9,2025-03-01 12:20:00,-3.086 °C,-3.192 °C
10,2025-03-01 12:30:00,-3.248 °C,-3.353 °C
11,2025-03-01 12:40:00,-3.398 °C,-3.500 °C
12,2025-03-01 12:50:00,-3.537 °C,-3.636 °C
13,2025-03-01 13:00:00,-3.663 °C,-3.764 °C
14,2025-03-01 13:10:00,-3.784 °C,-3.883 °C
15,2025-03-01 13:20:00,-3.896 °C,-3.992 °C
16,2025-03-01 13:30:00,-3.999 °C,-4.095 °C
17,2025-03-01 13:40:00,-4.095 °C,-4.189 °C
18,2025-03-01 13:50:00,-5.143 °C,-5.109 °C
19,2025-03-01 14:00:00,-5.180 °C,-5.037 °C
20,2025-03-01 14:10:00,-5.080 °C,-5.026 °C
21,2025-03-01 14:20:00,-5.199 °C,-5.032 °C
22,2025-03-01 14:30:00,-5.403 °C,-5.134 °C
23,2025-03-01 14:40:00,-5.600 °C,-5.336 °C
24,2025-03-01 14:50:00,-5.491 °C,-5.362 °C
25,2025-03-01 15:00:00,-5.568 °C,-5.446 °C
26,2025-03-01 15:10:00,-5.660 °C,-5.501 °C
27,2025-03-01 15:20:00,-5.654 °C,-5.553 °C
28,2025-03-01 15:30:00,-5.692 °C,-5.598 °C
29,2025-03-01 15:40:00,-5.581 °C,-5.626 °C
30,2025-03-01 15:50:00,-4.547 °C,-4.652 °C
31,2025-03-01 16:00:00,-3.806 °C,-3.791 °C
32,2025-03-01 16:10:00,-3.502 °C,-3.550 °C
33,2025-03-01 16:20:00,-3.253 °C,-3.362 °C
34,2025-03-01 16:30:00,-2.730 °C,-2.922 °C
35,2025-03-01 16:40:00,-2.397 °C,-3.602 °C
36,2025-03-01 16:50:00,-2.506 °C,-3.428 °C
37,2025-03-01 17:00:00,8.671 °C,-1.086 °C
38,2025-03-01 17:10:00,7.892 °C,1.154 °C
39,2025-03-01 17:20:00,9.658 °C,2.936 °C
40,2025-03-01 17:30:00,11.627 °C,4.882 °C
41,2025-03-01 17:40:00,13.067 °C,6.670 °C
42,2025-03-01 17:50:00,14.164 °C,8.239 °C
43,2025-03-01 18:00:00,14.982 °C,9.581 °C
44,2025-03-01 18:10:00,15.664 °C,10.745 °C
45,2025-03-01 18:20:00,15.726 °C,11.778 °C
46,2025-03-01 18:30:00,16.507 °C,12.529 °C
47,2025-03-01 18:40:00,17.056 °C,13.306 °C
48,2025-03-01 18:50:00,17.459 °C,13.993 °C
49,2025-03-01 19:00:00,17.807 °C,14.605 °C
50,2025-03-01 19:10:00,18.098 °C,15.152 °C
51,2025-03-01 19:20:00,18.332 °C,15.632 °C
52,2025-03-01 19:30:00,18.557 °C,16.060 °C
53,2025-03-01 19:40:00,18.771 °C,16.444 °C
54,2025-03-01 19:50:00,18.936 °C,16.787 °C
55,2025-03-01 20:00:00,19.109 °C,17.099 °C
56,2025-03-01 20:10:00,19.259 °C,17.379 °C
57,2025-03-01 20:20:00,19.389 °C,17.633 °C
58,2025-03-01 20:30:00,19.499 °C,17.861 °C
59,2025-03-01 20:40:00,19.610 °C,18.065 °C
60,2025-03-01 20:50:00,19.707 °C,18.258 °C
61,2025-03-01 21:00:00,19.791 °C,18.428 °C
62,2025-03-01 21:10:00,19.915 °C,18.603 °C
63,2025-03-01 21:20:00,19.944 °C,18.725 °C
64,2025-03-01 21:30:00,19.976 °C,18.845 °C
65,2025-03-01 21:40:00,19.990 °C,18.942 °C
