	Time	1	2
S/N		946487	946487
Type		TGP-4520	TGP-4520
Description		TT14	TT14
Property		Black Probe Temperature	White Probe Temperature
105	2 mar 2025 04:20	-6.198 °C	-6.075 °C
106	2 mar 2025 04:30	-6.198 °C	-6.075 °C
107	2 mar 2025 04:40	-6.198 °C	-6.075 °C
108	2 mar 2025 04:50	-6.200 °C	-6.075 °C
109	2 mar 2025 05:00	-6.200 °C	-6.077 °C
110	2 mar 2025 05:10	-6.198 °C	-6.077 °C
111	2 mar 2025 05:20	-6.200 °C	-6.077 °C
112	2 mar 2025 05:30	-6.202 °C	-6.077 °C
113	2 mar 2025 05:40	-6.202 °C	-6.077 °C
114	2 mar 2025 05:50	-6.202 °C	-6.079 °C
115	2 mar 2025 06:00	-6.202 °C	-6.079 °C
116	2 mar 2025 06:10	-6.202 °C	-6.079 °C
117	2 mar 2025 06:20	-6.204 °C	-6.079 °C
118	2 mar 2025 06:30	-6.204 °C	-6.079 °C
119	2 mar 2025 06:40	-6.204 °C	-6.079 °C
120	2 mar 2025 06:50	-6.204 °C	-6.079 °C
121	2 mar 2025 07:00	-6.204 °C	-6.080 °C
122	2 mar 2025 07:10	-6.204 °C	-6.080 °C
123	2 mar 2025 07:20	-6.206 °C	-6.080 °C
124	2 mar 2025 07:30	-6.206 °C	-6.080 °C
125	2 mar 2025 07:40	-6.206 °C	-6.080 °C
126	2 mar 2025 07:50	-6.206 °C	-6.080 °C
127	2 mar 2025 08:00	-6.206 °C	-6.082 °C
128	2 mar 2025 08:10	-6.206 °C	-6.080 °C
129	2 mar 2025 08:20	-6.206 °C	-6.082 °C
130	2 mar 2025 08:30	-6.206 °C	-6.082 °C
131	2 mar 2025 08:40	-6.208 °C	-6.082 °C
132	2 mar 2025 08:50	-6.208 °C	-6.082 °C
133	2 mar 2025 09:00	-6.208 °C	-6.082 °C
134	2 mar 2025 09:10	-6.208 °C	-6.082 °C
135	2 mar 2025 09:20	-6.208 °C	-6.082 °C
136	2 mar 2025 09:30	-6.208 °C	-6.082 °C
137	2 mar 2025 09:40	-6.208 °C	-6.084 °C
138	2 mar 2025 09:50	-6.208 °C	-6.084 °C
139	2 mar 2025 10:00	-6.208 °C	-6.084 °C
140	2 mar 2025 10:10	-6.208 °C	-6.084 °C
141	2 mar 2025 10:20	-6.208 °C	-6.084 °C
142	2 mar 2025 10:30	-6.208 °C	-6.084 °C
143	2 mar 2025 10:40	-6.210 °C	-6.084 °C
144	2 mar 2025 10:50	-6.208 °C	-6.084 °C
145	2 mar 2025 11:00	-6.210 °C	-6.086 °C
146	2 mar 2025 11:10	-6.210 °C	-6.084 °C
147	2 mar 2025 11:20	-6.210 °C	-6.084 °C
148	2 mar 2025 11:30	-6.210 °C	-6.086 °C
149	2 mar 2025 11:40	-6.210 °C	-6.082 °C
150	2 mar 2025 11:50	-6.210 °C	-6.086 °C
151	2 mar 2025 12:00	-6.210 °C	-6.086 °C
152	2 mar 2025 12:10	-6.210 °C	-6.086 °C
153	2 mar 2025 12:20	-6.210 °C	-6.086 °C
154	2 mar 2025 12:30	-6.210 °C	-6.086 °C
