	Time	1	2
S/N		594462	594462
Type		TGP-4520	TGP-4520
Description		TT2	TT2
Property		Black Probe Temperature	White Probe Temperature
1	1 mar 2025 11:00	-1.748 °C	-1.502 °C
2	1 mar 2025 11:10	-2.067 °C	-1.867 °C
3	1 mar 2025 11:20	-2.319 °C	-2.121 °C
4	1 mar 2025 11:30	-2.570 °C	-2.370 °C
5	1 mar 2025 11:40	-2.764 °C	-2.580 °C
6	1 mar 2025 11:50	-2.950 °C	-2.790 °C
7	1 mar 2025 12:00	-3.157 °C	-3.000 °C
8	1 mar 2025 12:10	-3.350 °C	-3.211 °C
9	1 mar 2025 12:20	-3.446 °C	-3.345 °C
10	1 mar 2025 12:30	-3.572 °C	-3.476 °C
11	1 mar 2025 12:40	-3.688 °C	-3.607 °C
12	1 mar 2025 12:50	-3.795 °C	-3.727 °C
13	1 mar 2025 13:00	-3.922 °C	-3.861 °C
14	1 mar 2025 13:10	-4.026 °C	-3.981 °C
15	1 mar 2025 13:20	-4.106 °C	-4.077 °C
16	1 mar 2025 13:30	-4.199 °C	-4.175 °C
17	1 mar 2025 13:40	-4.269 °C	-4.261 °C
18	1 mar 2025 13:50	-5.468 °C	-5.633 °C
19	1 mar 2025 14:00	-5.510 °C	-5.696 °C
20	1 mar 2025 14:10	-5.186 °C	-5.582 °C
21	1 mar 2025 14:20	-5.516 °C	-5.677 °C
22	1 mar 2025 14:30	-6.061 °C	-6.059 °C
23	1 mar 2025 14:40	-5.728 °C	-6.150 °C
24	1 mar 2025 14:50	-5.682 °C	-6.123 °C
25	1 mar 2025 15:00	-5.705 °C	-6.118 °C
26	1 mar 2025 15:10	-5.726 °C	-6.112 °C
27	1 mar 2025 15:20	-5.744 °C	-6.109 °C
28	1 mar 2025 15:30	-5.758 °C	-6.105 °C
29	1 mar 2025 15:40	-5.772 °C	-6.105 °C
30	1 mar 2025 15:50	-5.784 °C	-6.104 °C
31	1 mar 2025 16:00	-5.796 °C	-6.104 °C
32	1 mar 2025 16:10	-5.805 °C	-6.104 °C
33	1 mar 2025 16:20	-5.816 °C	-6.104 °C
34	1 mar 2025 16:30	-5.823 °C	-6.105 °C
35	1 mar 2025 16:40	-5.832 °C	-6.105 °C
36	1 mar 2025 16:50	-5.839 °C	-6.105 °C
37	1 mar 2025 17:00	-5.846 °C	-6.107 °C
38	1 mar 2025 17:10	-5.853 °C	-6.107 °C
39	1 mar 2025 17:20	-5.858 °C	-6.109 °C
40	1 mar 2025 17:30	-5.865 °C	-6.109 °C
41	1 mar 2025 17:40	-5.870 °C	-6.111 °C
