	Time	1	2
S/N		866815	866815
Type		TGP-4520	TGP-4520
Description		TT9	TT9
Property		Black Probe Temperature	White Probe Temperature
1	1 mar 2025 11:00	-0.655 °C	-0.797 °C
2	1 mar 2025 11:10	-1.182 °C	-1.321 °C
3	1 mar 2025 11:20	-1.617 °C	-1.750 °C
4	1 mar 2025 11:30	-1.915 °C	-2.039 °C
5	1 mar 2025 11:40	-2.194 °C	-2.313 °C
6	1 mar 2025 11:50	-2.450 °C	-2.566 °C
7	1 mar 2025 12:00	-2.680 °C	-2.793 °C
8	1 mar 2025 12:10	-2.894 °C	-3.008 °C
9	1 mar 2025 12:20	-3.086 °C	-3.192 °C
10	1 mar 2025 12:30	-3.248 °C	-3.353 °C
11	1 mar 2025 12:40	-3.398 °C	-3.500 °C
12	1 mar 2025 12:50	-3.537 °C	-3.636 °C
13	1 mar 2025 13:00	-3.663 °C	-3.764 °C
14	1 mar 2025 13:10	-3.784 °C	-3.883 °C
15	1 mar 2025 13:20	-3.896 °C	-3.992 °C
16	1 mar 2025 13:30	-3.999 °C	-4.095 °C
17	1 mar 2025 13:40	-4.095 °C	-4.189 °C
18	1 mar 2025 13:50	-5.143 °C	-5.109 °C
19	1 mar 2025 14:00	-5.180 °C	-5.037 °C
20	1 mar 2025 14:10	-5.080 °C	-5.026 °C
21	1 mar 2025 14:20	-5.199 °C	-5.032 °C
22	1 mar 2025 14:30	-5.403 °C	-5.134 °C
23	1 mar 2025 14:40	-5.600 °C	-5.336 °C
24	1 mar 2025 14:50	-5.491 °C	-5.362 °C
25	1 mar 2025 15:00	-5.568 °C	-5.446 °C
26	1 mar 2025 15:10	-5.660 °C	-5.501 °C
27	1 mar 2025 15:20	-5.654 °C	-5.553 °C
28	1 mar 2025 15:30	-5.692 °C	-5.598 °C
29	1 mar 2025 15:40	-5.581 °C	-5.626 °C
30	1 mar 2025 15:50	-4.547 °C	-4.652 °C
31	1 mar 2025 16:00	-3.806 °C	-3.791 °C
32	1 mar 2025 16:10	-3.502 °C	-3.550 °C
33	1 mar 2025 16:20	-3.253 °C	-3.362 °C
34	1 mar 2025 16:30	-2.730 °C	-2.922 °C
35	1 mar 2025 16:40	-2.397 °C	-3.602 °C
36	1 mar 2025 16:50	-2.506 °C	-3.428 °C
37	1 mar 2025 17:00	8.671 °C	-1.086 °C
38	1 mar 2025 17:10	7.892 °C	1.154 °C
39	1 mar 2025 17:20	9.658 °C	2.936 °C
40	1 mar 2025 17:30	11.627 °C	4.882 °C
41	1 mar 2025 17:40	13.067 °C	6.670 °C
42	1 mar 2025 17:50	14.164 °C	8.239 °C
43	1 mar 2025 18:00	14.982 °C	9.581 °C
44	1 mar 2025 18:10	15.664 °C	10.745 °C
45	1 mar 2025 18:20	15.726 °C	11.778 °C
46	1 mar 2025 18:30	16.507 °C	12.529 °C
47	1 mar 2025 18:40	17.056 °C	13.306 °C
48	1 mar 2025 18:50	17.459 °C	13.993 °C
49	1 mar 2025 19:00	17.807 °C	14.605 °C
50	1 mar 2025 19:10	18.098 °C	15.152 °C
51	1 mar 2025 19:20	18.332 °C	15.632 °C
52	1 mar 2025 19:30	18.557 °C	16.060 °C
53	1 mar 2025 19:40	18.771 °C	16.444 °C
54	1 mar 2025 19:50	18.936 °C	16.787 °C
55	1 mar 2025 20:00	19.109 °C	17.099 °C
56	1 mar 2025 20:10	19.259 °C	17.379 °C
57	1 mar 2025 20:20	19.389 °C	17.633 °C
58	1 mar 2025 20:30	19.499 °C	17.861 °C
59	1 mar 2025 20:40	19.610 °C	18.065 °C
60	1 mar 2025 20:50	19.707 °C	18.258 °C
61	1 mar 2025 21:00	19.791 °C	18.428 °C
62	1 mar 2025 21:10	19.915 °C	18.603 °C
63	1 mar 2025 21:20	19.944 °C	18.725 °C
64	1 mar 2025 21:30	19.976 °C	18.845 °C
65	1 mar 2025 21:40	19.990 °C	18.942 °C
66	1 mar 2025 21:50	19.980 °C	19.021 °C
67	1 mar 2025 22:00	19.951 °C	19.086 °C
