	Time	1	2
S/N		939300	939300
Type		TGP-4520	TGP-4520
Description		TT13	TT13
Property		Black Probe Temperature	White Probe Temperature
1	1 mar 2025 11:00	-4.133 °C	0.913 °C
2	1 mar 2025 11:10	-4.061 °C	0.327 °C
3	1 mar 2025 11:20	-4.119 °C	-0.191 °C
4	1 mar 2025 11:30	-4.086 °C	-0.609 °C
5	1 mar 2025 11:40	-4.120 °C	-0.982 °C
6	1 mar 2025 11:50	-4.106 °C	-1.328 °C
7	1 mar 2025 12:00	-4.270 °C	-1.645 °C
8	1 mar 2025 12:10	-4.355 °C	-1.927 °C
9	1 mar 2025 12:20	-4.293 °C	-2.187 °C
10	1 mar 2025 12:30	-4.364 °C	-2.416 °C
11	1 mar 2025 12:40	-4.394 °C	-2.624 °C
12	1 mar 2025 12:50	-4.452 °C	-2.820 °C
13	1 mar 2025 13:00	-4.533 °C	-2.995 °C
14	1 mar 2025 13:10	-4.575 °C	-3.157 °C
15	1 mar 2025 13:20	-4.630 °C	-3.307 °C
16	1 mar 2025 13:30	-4.694 °C	-3.446 °C
17	1 mar 2025 13:40	-4.731 °C	-3.572 °C
18	1 mar 2025 13:50	-4.729 °C	-5.156 °C
19	1 mar 2025 14:00	-4.725 °C	-5.109 °C
20	1 mar 2025 14:10	-4.762 °C	-5.028 °C
21	1 mar 2025 14:20	-4.766 °C	-5.134 °C
22	1 mar 2025 14:30	-4.838 °C	-5.232 °C
23	1 mar 2025 14:40	-4.958 °C	-5.344 °C
24	1 mar 2025 14:50	-4.985 °C	-5.254 °C
25	1 mar 2025 15:00	-5.032 °C	-5.327 °C
26	1 mar 2025 15:10	-5.096 °C	-5.416 °C
27	1 mar 2025 15:20	-5.148 °C	-5.459 °C
28	1 mar 2025 15:30	-5.191 °C	-5.501 °C
29	1 mar 2025 15:40	-5.210 °C	-5.480 °C
30	1 mar 2025 15:50	-4.760 °C	-4.742 °C
31	1 mar 2025 16:00	-4.310 °C	-4.199 °C
32	1 mar 2025 16:10	-3.952 °C	-3.930 °C
33	1 mar 2025 16:20	-3.271 °C	-4.159 °C
34	1 mar 2025 16:30	-3.107 °C	-3.708 °C
35	1 mar 2025 16:40	-2.951 °C	-3.316 °C
36	1 mar 2025 16:50	-2.846 °C	-3.123 °C
37	1 mar 2025 17:00	-0.003 °C	-0.259 °C
38	1 mar 2025 17:10	3.246 °C	2.284 °C
39	1 mar 2025 17:20	5.757 °C	4.346 °C
40	1 mar 2025 17:30	7.922 °C	6.321 °C
41	1 mar 2025 17:40	9.658 °C	8.022 °C
42	1 mar 2025 17:50	11.052 °C	9.487 °C
43	1 mar 2025 18:00	12.165 °C	10.734 °C
44	1 mar 2025 18:10	13.072 °C	11.801 °C
45	1 mar 2025 18:20	13.618 °C	12.647 °C
46	1 mar 2025 18:30	14.294 °C	13.389 °C
47	1 mar 2025 18:40	14.946 °C	14.116 °C
48	1 mar 2025 18:50	15.495 °C	14.742 °C
49	1 mar 2025 19:00	15.959 °C	15.293 °C
50	1 mar 2025 19:10	16.376 °C	15.783 °C
51	1 mar 2025 19:20	16.751 °C	16.209 °C
52	1 mar 2025 19:30	17.083 °C	16.583 °C
53	1 mar 2025 19:40	17.363 °C	16.927 °C
54	1 mar 2025 19:50	17.635 °C	17.233 °C
55	1 mar 2025 20:00	17.889 °C	17.498 °C
56	1 mar 2025 20:10	18.103 °C	17.757 °C
57	1 mar 2025 20:20	18.308 °C	17.981 °C
58	1 mar 2025 20:30	18.484 °C	18.183 °C
59	1 mar 2025 20:40	18.646 °C	18.362 °C
60	1 mar 2025 20:50	18.794 °C	18.535 °C
61	1 mar 2025 21:00	18.939 °C	18.685 °C
62	1 mar 2025 21:10	19.044 °C	18.822 °C
63	1 mar 2025 21:20	19.149 °C	18.921 °C
64	1 mar 2025 21:30	19.255 °C	19.017 °C
65	1 mar 2025 21:40	19.314 °C	19.091 °C
66	1 mar 2025 21:50	19.351 °C	19.150 °C
67	1 mar 2025 22:00	19.386 °C	19.198 °C
68	1 mar 2025 22:10	19.417 °C	19.228 °C
69	1 mar 2025 22:20	19.430 °C	19.249 °C
70	1 mar 2025 22:30	19.442 °C	19.261 °C
71	1 mar 2025 22:40	19.429 °C	19.271 °C
72	1 mar 2025 22:50	19.430 °C	19.275 °C
73	1 mar 2025 23:00	19.420 °C	19.272 °C
74	1 mar 2025 23:10	19.403 °C	19.265 °C
75	1 mar 2025 23:20	19.387 °C	19.255 °C
76	1 mar 2025 23:30	19.370 °C	19.242 °C
77	1 mar 2025 23:40	19.354 °C	19.228 °C
78	1 mar 2025 23:50	19.334 °C	19.212 °C
79	2 mar 2025 00:00	19.312 °C	19.195 °C
80	2 mar 2025 00:10	19.292 °C	19.175 °C
81	2 mar 2025 00:20	19.268 °C	19.155 °C
82	2 mar 2025 00:30	19.248 °C	19.133 °C
83	2 mar 2025 00:40	19.225 °C	19.111 °C
84	2 mar 2025 00:50	19.200 °C	19.087 °C
85	2 mar 2025 01:00	19.173 °C	19.064 °C
86	2 mar 2025 01:10	19.140 °C	19.038 °C
87	2 mar 2025 01:20	19.107 °C	19.011 °C
88	2 mar 2025 01:30	19.073 °C	18.981 °C
89	2 mar 2025 01:40	19.034 °C	18.949 °C
90	2 mar 2025 01:50	18.995 °C	18.915 °C
91	2 mar 2025 02:00	18.966 °C	18.882 °C
92	2 mar 2025 02:10	18.938 °C	18.850 °C
93	2 mar 2025 02:20	18.913 °C	18.820 °C
94	2 mar 2025 02:30	18.889 °C	18.794 °C
95	2 mar 2025 02:40	18.859 °C	18.763 °C
96	2 mar 2025 02:50	18.827 °C	18.735 °C
97	2 mar 2025 03:00	18.801 °C	18.708 °C
98	2 mar 2025 03:10	18.774 °C	18.681 °C
99	2 mar 2025 03:20	18.750 °C	18.656 °C
100	2 mar 2025 03:30	18.724 °C	18.631 °C
101	2 mar 2025 03:40	18.698 °C	18.606 °C
102	2 mar 2025 03:50	18.678 °C	18.582 °C
103	2 mar 2025 04:00	18.656 °C	18.559 °C
104	2 mar 2025 04:10	18.626 °C	18.535 °C
105	2 mar 2025 04:20	18.603 °C	18.513 °C
106	2 mar 2025 04:30	18.579 °C	18.490 °C
107	2 mar 2025 04:40	18.560 °C	18.468 °C
108	2 mar 2025 04:50	18.535 °C	18.447 °C
109	2 mar 2025 05:00	18.513 °C	18.425 °C
110	2 mar 2025 05:10	18.490 °C	18.404 °C
111	2 mar 2025 05:20	18.470 °C	18.382 °C
112	2 mar 2025 05:30	18.450 °C	18.362 °C
113	2 mar 2025 05:40	18.433 °C	18.342 °C
114	2 mar 2025 05:50	18.417 °C	18.322 °C
115	2 mar 2025 06:00	18.397 °C	18.303 °C
116	2 mar 2025 06:10	18.377 °C	18.285 °C
117	2 mar 2025 06:20	18.357 °C	18.263 °C
118	2 mar 2025 06:30	18.334 °C	18.243 °C
119	2 mar 2025 06:40	18.309 °C	18.222 °C
120	2 mar 2025 06:50	18.286 °C	18.200 °C
121	2 mar 2025 07:00	18.266 °C	18.180 °C
122	2 mar 2025 07:10	18.250 °C	18.160 °C
123	2 mar 2025 07:20	18.235 °C	18.141 °C
124	2 mar 2025 07:30	18.217 °C	18.123 °C
125	2 mar 2025 07:40	18.203 °C	18.107 °C
126	2 mar 2025 07:50	18.131 °C	17.889 °C
127	2 mar 2025 08:00	16.564 °C	15.422 °C
128	2 mar 2025 08:10	14.374 °C	12.957 °C
129	2 mar 2025 08:20	12.397 °C	11.232 °C
130	2 mar 2025 08:30	10.597 °C	9.813 °C
131	2 mar 2025 08:40	8.993 °C	8.192 °C
132	2 mar 2025 08:50	6.989 °C	8.114 °C
133	2 mar 2025 09:00	5.623 °C	4.892 °C
134	2 mar 2025 09:10	4.539 °C	3.955 °C
135	2 mar 2025 09:20	3.530 °C	3.349 °C
136	2 mar 2025 09:30	2.878 °C	2.715 °C
137	2 mar 2025 09:40	2.122 °C	1.795 °C
138	2 mar 2025 09:50	1.248 °C	1.032 °C
139	2 mar 2025 10:00	0.389 °C	0.273 °C
140	2 mar 2025 10:10	-0.346 °C	-0.335 °C
141	2 mar 2025 10:20	-0.961 °C	-0.864 °C
142	2 mar 2025 10:30	-1.572 °C	-1.464 °C
143	2 mar 2025 10:40	-1.875 °C	-1.802 °C
144	2 mar 2025 10:50	-2.098 °C	-2.042 °C
145	2 mar 2025 11:00	-2.290 °C	-2.236 °C
146	2 mar 2025 11:10	-2.455 °C	-2.430 °C
147	2 mar 2025 11:20	-2.724 °C	-3.600 °C
148	2 mar 2025 11:30	-3.095 °C	-3.430 °C
149	2 mar 2025 11:40	-3.294 °C	-3.566 °C
150	2 mar 2025 11:50	-3.444 °C	-3.681 °C
151	2 mar 2025 12:00	-3.426 °C	-3.687 °C
152	2 mar 2025 12:10	-3.414 °C	-3.629 °C
153	2 mar 2025 12:20	-3.446 °C	-3.685 °C
154	2 mar 2025 12:30	-3.475 °C	-3.710 °C
155	2 mar 2025 12:40	-3.503 °C	-3.800 °C
156	2 mar 2025 12:50	-3.541 °C	-3.786 °C
157	2 mar 2025 13:00	-3.537 °C	-3.760 °C
158	2 mar 2025 13:10	-3.489 °C	-3.728 °C
159	2 mar 2025 13:20	-3.444 °C	-3.699 °C
160	2 mar 2025 13:30	-3.403 °C	-3.660 °C
161	2 mar 2025 13:40	-3.271 °C	-3.496 °C
