	Time	1	2
S/N		594459	594459
Type		TGP-4520	TGP-4520
Description		TT4	TT4
Property		Black Probe Temperature	White Probe Temperature
1	1 mar 2025 11:00	-2.386 °C	-0.487 °C
2	1 mar 2025 11:10	-2.638 °C	-0.861 °C
3	1 mar 2025 11:20	-2.849 °C	-1.287 °C
4	1 mar 2025 11:30	-3.020 °C	-1.694 °C
5	1 mar 2025 11:40	-3.196 °C	-2.036 °C
6	1 mar 2025 11:50	-3.382 °C	-2.353 °C
7	1 mar 2025 12:00	-3.565 °C	-2.624 °C
8	1 mar 2025 12:10	-3.741 °C	-2.887 °C
9	1 mar 2025 12:20	-3.827 °C	-3.094 °C
10	1 mar 2025 12:30	-3.932 °C	-3.274 °C
11	1 mar 2025 12:40	-4.032 °C	-3.439 °C
12	1 mar 2025 12:50	-4.124 °C	-3.580 °C
13	1 mar 2025 13:00	-4.240 °C	-3.727 °C
14	1 mar 2025 13:10	-4.331 °C	-3.861 °C
15	1 mar 2025 13:20	-4.399 °C	-3.971 °C
16	1 mar 2025 13:30	-4.475 °C	-4.083 °C
17	1 mar 2025 13:40	-4.535 °C	-4.182 °C
18	1 mar 2025 13:50	-5.479 °C	-5.486 °C
19	1 mar 2025 14:00	-5.510 °C	-5.570 °C
20	1 mar 2025 14:10	-5.301 °C	-5.323 °C
21	1 mar 2025 14:20	-5.530 °C	-5.580 °C
22	1 mar 2025 14:30	-5.990 °C	-5.531 °C
23	1 mar 2025 14:40	-6.072 °C	-5.612 °C
24	1 mar 2025 14:50	-6.026 °C	-5.673 °C
25	1 mar 2025 15:00	-6.019 °C	-5.765 °C
26	1 mar 2025 15:10	-6.012 °C	-5.807 °C
27	1 mar 2025 15:20	-6.004 °C	-5.835 °C
28	1 mar 2025 15:30	-5.999 °C	-5.854 °C
29	1 mar 2025 15:40	-5.996 °C	-5.867 °C
30	1 mar 2025 15:50	-5.992 °C	-5.879 °C
31	1 mar 2025 16:00	-5.990 °C	-5.890 °C
32	1 mar 2025 16:10	-5.989 °C	-5.899 °C
33	1 mar 2025 16:20	-5.987 °C	-5.904 °C
34	1 mar 2025 16:30	-5.987 °C	-5.907 °C
35	1 mar 2025 16:40	-5.985 °C	-5.911 °C
36	1 mar 2025 16:50	-5.983 °C	-5.916 °C
37	1 mar 2025 17:00	-5.983 °C	-5.921 °C
38	1 mar 2025 17:10	-5.983 °C	-5.927 °C
39	1 mar 2025 17:20	-5.983 °C	-5.932 °C
40	1 mar 2025 17:30	-5.983 °C	-5.937 °C
41	1 mar 2025 17:40	-5.983 °C	-5.943 °C
42	1 mar 2025 17:50	-5.981 °C	-5.944 °C
43	1 mar 2025 18:00	-5.981 °C	-5.944 °C
44	1 mar 2025 18:10	-5.981 °C	-5.941 °C
45	1 mar 2025 18:20	-5.981 °C	-5.943 °C
46	1 mar 2025 18:30	-5.981 °C	-5.944 °C
47	1 mar 2025 18:40	-5.981 °C	-5.948 °C
48	1 mar 2025 18:50	-5.981 °C	-5.950 °C
49	1 mar 2025 19:00	-5.981 °C	-5.950 °C
50	1 mar 2025 19:10	-5.981 °C	-5.948 °C
51	1 mar 2025 19:20	-5.981 °C	-5.948 °C
52	1 mar 2025 19:30	-5.981 °C	-5.950 °C
53	1 mar 2025 19:40	-5.981 °C	-5.950 °C
54	1 mar 2025 19:50	-5.981 °C	-5.953 °C
55	1 mar 2025 20:00	-5.981 °C	-5.955 °C
56	1 mar 2025 20:10	-5.981 °C	-5.959 °C
57	1 mar 2025 20:20	-5.981 °C	-5.964 °C
58	1 mar 2025 20:30	-5.981 °C	-5.967 °C
59	1 mar 2025 20:40	-5.981 °C	-5.971 °C
60	1 mar 2025 20:50	-5.981 °C	-5.973 °C
61	1 mar 2025 21:00	-5.981 °C	-5.974 °C
62	1 mar 2025 21:10	-5.981 °C	-5.974 °C
63	1 mar 2025 21:20	-5.981 °C	-5.974 °C
64	1 mar 2025 21:30	-5.983 °C	-5.976 °C
65	1 mar 2025 21:40	-5.983 °C	-5.976 °C
66	1 mar 2025 21:50	-5.983 °C	-5.974 °C
67	1 mar 2025 22:00	-5.985 °C	-5.969 °C
68	1 mar 2025 22:10	-5.985 °C	-5.962 °C
69	1 mar 2025 22:20	-5.985 °C	-5.953 °C
70	1 mar 2025 22:30	-5.985 °C	-5.946 °C
71	1 mar 2025 22:40	-5.985 °C	-5.941 °C
72	1 mar 2025 22:50	-5.985 °C	-5.941 °C
73	1 mar 2025 23:00	-5.985 °C	-5.941 °C
74	1 mar 2025 23:10	-5.985 °C	-5.943 °C
75	1 mar 2025 23:20	-5.985 °C	-5.944 °C
76	1 mar 2025 23:30	-5.985 °C	-5.946 °C
77	1 mar 2025 23:40	-5.983 °C	-5.946 °C
78	1 mar 2025 23:50	-5.985 °C	-5.948 °C
79	2 mar 2025 00:00	-5.983 °C	-5.951 °C
80	2 mar 2025 00:10	-5.983 °C	-5.953 °C
81	2 mar 2025 00:20	-5.983 °C	-5.959 °C
82	2 mar 2025 00:30	-5.981 °C	-5.962 °C
83	2 mar 2025 00:40	-5.981 °C	-5.969 °C
84	2 mar 2025 00:50	-5.981 °C	-5.981 °C
85	2 mar 2025 01:00	-5.981 °C	-6.004 °C
86	2 mar 2025 01:10	-5.981 °C	-6.036 °C
87	2 mar 2025 01:20	-5.983 °C	-6.068 °C
88	2 mar 2025 01:30	-5.983 °C	-6.109 °C
89	2 mar 2025 01:40	-5.985 °C	-6.151 °C
90	2 mar 2025 01:50	-5.985 °C	-6.178 °C
91	2 mar 2025 02:00	-5.987 °C	-6.196 °C
92	2 mar 2025 02:10	-5.989 °C	-6.205 °C
93	2 mar 2025 02:20	-5.990 °C	-6.208 °C
94	2 mar 2025 02:30	-5.992 °C	-6.205 °C
95	2 mar 2025 02:40	-5.996 °C	-6.196 °C
96	2 mar 2025 02:50	-5.999 °C	-6.183 °C
97	2 mar 2025 03:00	-6.003 °C	-6.171 °C
98	2 mar 2025 03:10	-6.006 °C	-6.158 °C
99	2 mar 2025 03:20	-6.010 °C	-6.148 °C
100	2 mar 2025 03:30	-6.013 °C	-6.141 °C
101	2 mar 2025 03:40	-6.017 °C	-6.134 °C
102	2 mar 2025 03:50	-6.020 °C	-6.130 °C
103	2 mar 2025 04:00	-6.022 °C	-6.130 °C
104	2 mar 2025 04:10	-6.026 °C	-6.130 °C
105	2 mar 2025 04:20	-6.027 °C	-6.132 °C
106	2 mar 2025 04:30	-6.029 °C	-6.137 °C
107	2 mar 2025 04:40	-6.031 °C	-6.144 °C
108	2 mar 2025 04:50	-6.033 °C	-6.162 °C
109	2 mar 2025 05:00	-6.035 °C	-6.189 °C
110	2 mar 2025 05:10	-6.036 °C	-6.206 °C
111	2 mar 2025 05:20	-6.040 °C	-6.219 °C
112	2 mar 2025 05:30	-6.040 °C	-6.226 °C
113	2 mar 2025 05:40	-6.043 °C	-6.237 °C
114	2 mar 2025 05:50	-6.045 °C	-6.251 °C
115	2 mar 2025 06:00	-6.047 °C	-6.258 °C
116	2 mar 2025 06:10	-6.050 °C	-6.290 °C
117	2 mar 2025 06:20	-6.052 °C	-6.333 °C
118	2 mar 2025 06:30	-6.054 °C	-6.347 °C
119	2 mar 2025 06:40	-6.058 °C	-6.343 °C
120	2 mar 2025 06:50	-6.059 °C	-6.327 °C
