"TOA5","1481","CR3000","1481","CR3000.Std.32.06","CPU:AWS_MaggieMay_no_sonic_v3.CR3","13840","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature_1","temperature_2","rel_humidity_1","rel_humidity_2","wind_speed_1","wind_speed_2","gust_speed_1","gust_speed_2","wind_direction_1","wind_direction_2","air_pressure","SWup","SWdown","LWup","LWdown","CNR1_T_degC","ground_temperature"
"TS","RN","Volts","degC","degC","%","%","m/s","m/s","m/s","m/s","deg","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC"
"","","Min","Avg","Avg","Smp","Smp","Avg","Avg","Max","Max","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-03-05 05:31:00",5333,12.23,-13.42,-13.34,76.37,78.02,3.076,3.25,3.655,3.724,212.2,43.03,982.0191,-0.078,-2.192,245.9,206.6,-13.74,-11.05
"2025-03-05 05:32:00",5334,12.23,-13.44,-13.37,77.38,79.01,3.952,4.149,6.075,6.664,213.4,66.35,982.0226,-0.33,-2.397,247.5,214,-13.78,-11.05
"2025-03-05 05:33:00",5335,12.23,-13.26,-13.22,77.69,78.73,4.765,6.156,6.589,9.02,219,77.07,982.0241,0.167,-1.635,250.7,220.4,-13.72,-11.06
"2025-03-05 05:34:00",5336,12.23,-13.06,-13.02,77.76,78.23,4.974,7.237,8.39,8.82,226.6,49.88,982.0178,0.677,-0.9,253.3,222.4,-13.58,-11.06
"2025-03-05 05:35:00",5337,12.23,-12.83,-12.81,76.91,77.12,3.716,3.57,5.869,5.684,226.9,28.97,981.9925,1.443,-0.106,253,224.3,-13.43,-11.06
"2025-03-05 05:36:00",5338,12.23,-12.69,-12.71,75.99,76.53,3.601,3.526,4.633,4.41,227.1,55.47,982.028,1.769,0.258,252.6,226.1,-13.32,-11.06
"2025-03-05 05:37:00",5339,12.23,-12.65,-12.67,75.46,76.29,4.353,4.495,5.457,5.39,227,46.57,982.0002,1.528,0.099,252.9,225.7,-13.27,-11.06
"2025-03-05 05:38:00",5340,12.23,-12.7,-12.72,75.82,77.1,4.947,5.019,7.053,6.762,226.6,16.07,982.0049,1.302,-0.047,252.7,218.4,-13.23,-11.07
"2025-03-05 05:39:00",5341,12.23,-12.73,-12.76,75.86,77.14,4.136,4.16,5.302,5.292,226.6,22.31,981.9211,1.287,-0.189,251.8,213.7,-13.19,-11.07
"2025-03-05 05:40:00",5342,12.23,-12.76,-12.8,75.62,76.71,4.103,4.172,4.942,4.9,226.6,23.59,981.9193,1.085,-0.562,250.1,209.7,-13.23,-11.07
"2025-03-05 05:41:00",5343,12.23,-12.86,-12.88,76,77.69,4.553,4.583,5.199,5.194,226.6,40.23,981.9908,0.616,-1.139,249.5,207.9,-13.3,-11.08
