"TOA5","1481","CR3000","1481","CR3000.Std.32.06","CPU:AWS_MaggieMay_no_sonic_v3.CR3","13840","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature_1","temperature_2","rel_humidity_1","rel_humidity_2","wind_speed_1","wind_speed_2","gust_speed_1","gust_speed_2","wind_direction_1","wind_direction_2","air_pressure","SWup","SWdown","LWup","LWdown","CNR1_T_degC","ground_temperature"
"TS","RN","Volts","degC","degC","%","%","m/s","m/s","m/s","m/s","deg","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC"
"","","Min","Avg","Avg","Smp","Smp","Avg","Avg","Max","Max","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-03-03 01:31:00",2213,12.12,-5.2,-5.303,91.9,91.7,5.562,5.689,6.332,6.37,235.2,57.69,982.7872,0.082,-0.125,292.4,287.8,-5.03,-4.832
"2025-03-03 01:32:00",2214,12.12,-5.189,-5.291,91.9,91.7,5.681,6.006,6.435,6.958,235.2,56.91,982.7825,0.082,-0.088,292.4,288.1,-5.026,-4.831
"2025-03-03 01:33:00",2215,12.12,-5.194,-5.292,91.9,91.7,5.002,5.31,6.126,6.37,235.2,57.16,982.7681,0.076,-0.12,292.3,287.7,-5.031,-4.834
"2025-03-03 01:34:00",2216,12.12,-5.211,-5.311,91.8,91.7,4.972,5.205,5.869,6.076,235.2,58.07,982.7513,0.053,-0.15,292.2,287.7,-5.026,-4.835
"2025-03-03 01:35:00",2217,12.12,-5.213,-5.315,91.9,91.7,5.755,5.98,6.589,6.566,235.2,61.15,982.764,-0.009,-0.159,292.3,288.1,-5.026,-4.837
"2025-03-03 01:36:00",2218,12.12,-5.208,-5.309,91.9,91.7,5.179,5.501,5.972,6.174,235.2,58.23,982.779,0.063,-0.147,292.4,288.1,-5.026,-4.837
"2025-03-03 01:37:00",2219,12.12,-5.2,-5.303,91.9,91.7,5.564,5.932,6.384,6.762,235.2,65,982.7524,0.077,-0.12,292.4,288.1,-5.028,-4.838
"2025-03-03 01:38:00",2220,12.12,-5.189,-5.294,91.8,91.7,5.515,6.265,6.95,7.056,235.2,67.54,982.7309,0.08,-0.105,292.5,288.2,-5.022,-4.839
"2025-03-03 01:39:00",2221,12.12,-5.19,-5.296,91.8,91.6,5.129,5.65,5.92,6.37,235.2,61.93,982.7546,0.088,-0.088,292.3,288,-5.025,-4.838
"2025-03-03 01:40:00",2222,12.12,-5.2,-5.305,91.8,91.6,5.381,5.725,6.589,6.664,235.2,59.04,982.7666,0.052,-0.126,292.3,287.5,-5.028,-4.839
"2025-03-03 01:41:00",2223,12.12,-5.207,-5.312,91.8,91.6,4.924,5.377,5.611,6.174,235.2,58.14,982.7554,0.043,-0.139,292.2,287.5,-5.031,-4.838
