"TOA5","1481","CR3000","1481","CR3000.Std.32.06","CPU:AWS_MaggieMay_no_sonic_v3.CR3","13840","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature_1","temperature_2","rel_humidity_1","rel_humidity_2","wind_speed_1","wind_speed_2","gust_speed_1","gust_speed_2","wind_direction_1","wind_direction_2","air_pressure","SWup","SWdown","LWup","LWdown","CNR1_T_degC","ground_temperature"
"TS","RN","Volts","degC","degC","%","%","m/s","m/s","m/s","m/s","deg","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC"
"","","Min","Avg","Avg","Smp","Smp","Avg","Avg","Max","Max","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-03-08 10:31:00",9953,11.73,-10.93,-11.05,83.3,84.5,3.134,3.419,3.552,3.822,344.9,241.3,984.3649,48.6,31.32,268.8,264.9,-10.14,-8.95
"2025-03-08 10:32:00",9954,11.73,-10.95,-11.07,83.4,84.7,3.378,3.647,4.118,4.508,344.9,247.4,984.3907,48.48,31.29,268.7,264.8,-10.14,-8.95
"2025-03-08 10:33:00",9955,11.73,-10.94,-11.06,84,85.3,3.151,3.236,3.861,4.214,344.9,245.2,984.3746,48.65,31.26,269,264.8,-10.15,-8.94
"2025-03-08 10:34:00",9956,11.73,-10.88,-10.99,84.2,85.4,2.568,2.684,3.346,3.43,344.9,250.5,984.3691,49.07,31.37,269.4,265,-10.13,-8.94
"2025-03-08 10:35:00",9957,11.73,-10.87,-10.98,83.9,85.1,2.879,3.105,3.398,3.626,344.9,250.1,984.4011,49.18,31.47,268.9,264.6,-10.13,-8.94
"2025-03-08 10:36:00",9958,11.73,-10.88,-11,84,85.3,2.643,2.865,3.14,3.234,344.9,259.4,984.3324,49.12,31.38,269,264.6,-10.13,-8.94
"2025-03-08 10:37:00",9959,11.73,-10.87,-10.97,84.1,85.5,2.742,2.907,3.089,3.332,344.9,254.3,984.4085,49.31,31.46,269.1,264.7,-10.13,-8.94
"2025-03-08 10:38:00",9960,11.73,-10.86,-10.96,84.3,85.6,2.126,2.243,2.523,2.548,344.9,282.9,984.3591,49.51,31.63,269.1,265.4,-10.12,-8.94
"2025-03-08 10:39:00",9961,11.73,-10.82,-10.91,84.9,86.3,2.41,2.52,2.78,3.038,344.9,273.6,984.4177,49.66,31.52,269.5,265.7,-10.1,-8.94
"2025-03-08 10:40:00",9962,11.73,-10.75,-10.84,85,86.2,1.923,1.971,2.317,2.45,344.9,255.6,984.4528,50.04,31.72,269.8,266.1,-10.06,-8.93
"2025-03-08 10:41:00",9963,11.73,-10.7,-10.78,85.1,86.1,1.549,1.607,1.956,2.058,344.9,264.4,984.4297,50.93,32.18,270,266.7,-10.02,-8.93
